frame,track_id,x1,y1,x2,y2
3,1,811,465,880,559
3,2,453,160,489,227
3,3,856,187,891,248
3,4,403,418,469,498
3,5,161,264,212,347
3,6,1095,343,1146,439
3,7,727,83,755,128
3,8,907,125,932,176
3,9,393,155,427,215
3,10,735,193,772,262
3,11,1150,255,1196,340
3,12,1257,151,1285,212
3,13,530,428,577,517
3,14,580,95,603,145
3,15,591,51,620,90
3,16,659,221,683,296
3,17,497,432,539,514
4,1,821,463,887,552
4,2,467,160,503,226
4,3,868,185,903,248
4,4,411,417,477,498
4,5,172,264,223,347
4,6,1086,343,1137,438
4,7,739,83,767,127
4,8,920,125,944,175
4,9,407,154,442,215
4,10,746,192,784,263
4,11,1158,256,1203,340
4,12,1262,153,1289,213
4,13,530,429,576,515
4,14,593,95,616,146
4,15,598,52,626,90
4,16,672,221,695,296
4,17,499,433,540,513
5,1,831,461,892,545
5,2,480,161,515,225
5,3,880,184,915,248
5,4,422,415,488,498
5,5,182,264,233,347
5,6,1085,343,1136,440
5,7,751,82,779,127
5,8,933,125,958,176
5,9,420,154,454,215
5,10,756,192,794,264
5,11,1167,257,1211,340
5,12,1267,155,1293,214
5,13,531,428,577,517
5,14,606,96,630,146
5,15,617,52,645,90
5,16,684,221,708,297
5,17,498,434,538,510
6,1,836,460,899,545
6,2,492,160,528,225
6,3,890,184,925,248
6,4,428,414,495,498
6,5,190,266,240,347
6,6,1090,346,1140,441
6,7,764,82,790,127
6,8,945,124,971,177
6,9,432,153,465,215
6,10,767,192,805,265
6,11,1177,256,1221,340
6,12,1271,158,1298,215
6,13,536,426,582,515
6,14,619,97,643,146
6,15,630,51,658,89
6,16,696,222,721,297
6,17,500,436,541,514
7,1,844,457,907,544
7,2,504,159,539,225
7,3,899,184,936,248
7,4,433,412,502,498
7,5,197,266,246,346
7,6,1096,347,1145,442
7,7,777,82,802,127
7,8,958,124,983,177
7,9,443,153,475,214
7,10,779,193,817,266
7,11,1188,255,1233,340
7,12,1276,160,1302,215
7,13,541,423,587,514
7,14,632,97,655,145
7,15,642,51,670,89
7,16,708,223,733,297
7,17,501,440,543,517
8,1,852,454,918,544
8,2,515,159,550,224
8,3,910,184,947,249
8,4,439,411,507,497
8,5,205,266,253,345
8,6,1109,348,1155,438
8,7,790,82,815,126
8,8,970,123,996,179
8,9,454,153,485,214
8,10,790,195,827,266
8,11,1198,255,1244,340
8,12,1281,162,1306,216
8,13,548,420,595,512
8,14,643,96,667,145
8,15,653,49,682,90
8,16,720,224,745,297
8,17,505,441,546,519
9,1,858,450,927,546
9,2,525,158,561,225
9,3,921,185,958,250
9,4,448,411,516,497
9,5,214,264,262,345
9,6,1113,346,1159,439
9,7,802,83,828,127
9,8,983,124,1009,179
9,9,466,153,497,214
9,10,800,196,835,266
9,11,1207,255,1254,342
9,12,1286,164,1310,217
9,13,554,416,599,508
9,14,654,95,678,145
9,15,665,48,694,90
9,16,732,224,759,297
9,17,508,442,549,519
10,1,866,448,933,540
10,2,538,158,573,225
10,3,931,185,968,251
10,4,456,411,521,494
10,5,225,263,273,345
10,6,1118,346,1166,442
10,7,815,84,840,128
10,8,995,126,1021,181
10,9,479,153,509,215
10,10,809,196,844,266
10,11,1217,257,1264,343
10,12,1290,166,1314,218
10,13,560,414,604,505
10,14,665,95,690,146
10,15,678,47,707,90
10,16,745,224,772,298
10,17,512,439,556,520
11,1,873,446,939,535
11,2,550,157,585,225
11,3,940,185,976,251
11,4,463,410,527,493
11,5,235,263,283,345
11,6,1125,344,1174,441
11,7,828,84,853,128
11,8,1008,126,1033,182
11,9,490,153,521,215
11,10,819,197,853,266
11,11,1229,258,1276,344
11,12,1295,168,1318,219
11,13,567,412,612,503
11,14,677,94,702,146
11,15,691,46,719,90
11,16,758,224,786,297
11,17,514,440,558,520
12,1,880,444,944,532
12,2,564,158,599,225
12,3,951,185,986,250
12,4,470,409,529,486
12,5,242,262,290,344
12,6,1129,344,1179,440
12,7,841,85,866,129
12,8,1020,127,1045,182
12,9,502,154,533,215
12,10,829,196,864,267
12,11,1237,260,1282,345
12,12,1300,170,1323,220
12,13,572,410,618,506
12,14,690,94,714,147
12,15,703,48,732,93
12,16,771,225,800,297
12,17,517,441,560,521
13,1,884,444,947,532
13,2,577,158,612,226
13,3,961,185,997,250
13,4,476,409,534,484
13,5,250,263,299,344
13,6,1122,346,1172,440
13,7,854,85,880,129
13,8,1033,127,1058,182
13,9,514,155,546,216
13,10,840,196,875,268
13,11,1242,261,1286,345
13,12,1305,172,1327,220
13,13,573,409,624,513
13,14,703,95,728,148
13,15,715,50,743,94
13,16,784,224,813,297
13,17,519,442,562,521
14,1,890,444,953,533
14,2,589,159,624,226
14,3,973,184,1008,251
14,4,488,410,543,478
14,5,259,264,307,344
14,6,1127,348,1178,440
14,7,867,86,892,129
14,8,1046,127,1071,181
14,9,527,156,558,216
14,10,849,196,885,268
14,11,1251,259,1290,336
14,12,1309,174,1331,221
14,13,576,409,629,516
14,14,715,96,740,148
14,15,729,51,755,94
14,16,795,224,825,297
14,17,521,443,564,522
15,1,896,442,959,534
15,2,601,160,636,227
15,3,983,185,1018,251
15,4,497,411,553,481
15,5,266,265,312,344
15,6,1130,351,1181,441
15,7,879,86,903,129
15,8,1059,127,1084,182
15,9,538,156,570,217
15,10,858,196,894,268
15,11,1260,260,1298,335
15,12,1314,177,1335,222
15,13,583,408,633,511
15,14,727,98,752,149
15,15,742,52,768,94
15,16,807,225,836,297
15,17,524,444,566,522
16,1,902,441,966,532
16,2,613,161,648,227
